SURVEY,SURVEY,,NPS,NPS_TOELICHTING,GESLACHT,LEEFTIJD,ABOJAREN,CREATIE_DT,SUBSCRIPTION_KEY,TITEL_TEKST,ABO_TYPE,ELT_PROEF_GEHAD,EXIT_OPZEGREDEN
LLT_Nieuws,LLT_Nieuws,,10,n.v.t.,Vrouw,75 jaar of ouder,6-10 jaar,8/25/2025,ARIA_DG_A1000602800,de Gelderlander,Compleet,,
ELT_Nieuws,ELT_Nieuws,,4,vind het geen fijne krant,Vrouw,65-74,1-2 maanden,6/2/2025,ARIA_BD_A1003936287,Brabants Dagblad,Zaterdag+ (Hybride),Nee,
LLT_Magazines,LLT_Magazines,,2,Dat moet ieder voor zich weten,Vrouw,55-64,Meer dan 30 jaar,7/14/2025,SAP_LIBEL_40817930_10,Libelle,Digitaal Basis,,
LLT_Nieuws,LLT_Nieuws,,9,top krant met goede balans need to know- nice to know en fijn veel Amsterdams nieuws,Vrouw,55-64,Meer dan 30 jaar,8/4/2025,ARIA_HP_A1001533216,Het Parool,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,1,Te duur,Man,75 jaar of ouder,3-5 jaar,6/23/2025,ARIA_DG_A1002870370,de Gelderlander,Zaterdag+ (Hybride),,Duur
EXIT_Nieuws,EXIT_Nieuws,,7,n.v.t.,Man,75 jaar of ouder,Minder dan 6 maanden,8/11/2025,ARIA_AD_A1004040902,het AD,Compleet,,Omdathij niet bezorgd wordt
LLT_Nieuws,LLT_Nieuws,,5,Bezorging en op tijd bezorgen laat VAAK te wensen over !,Man,75 jaar of ouder,21-30 jaar,2/17/2025,ARIA_ED_A1001242124,het ED,Compleet,,
ELT_Magazines,ELT_Magazines,,7,n.v.t.,Vrouw,55-64,1-2 maanden,7/14/2025,SAP_LIBEL_41273449_10,Libelle,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,10,"Ik vind het een prettige genuanceerde, kritische krant waarbij ik me goed thuis voel.",Vrouw,65-74,3-5 jaar,8/11/2025,ARIA_TR_A1000801549,Trouw,Digital Only,,
ELT_Nieuws,ELT_Nieuws,,8,n.v.t.,Vrouw,35-44,Minder dan 1 maand,4/7/2025,ARIA_DG_A1003700267,de Gelderlander,Zaterdag+ (Hybride),Nee,
EXIT_Nieuws,EXIT_Nieuws,,0,"december 2024 heb ik de krant maar 3 maal gekregen , in die maand lag er een naburige straat wil honderd kranten in de gracht gegooid als men dan op zaterdag avond een krant in de bus kwam steken was de maat meer dan vol",Man,65-74,Meer dan 30 jaar,1/20/2025,ARIA_HLN_A1001918698,Het Laatste Nieuws,Compleet,,zie vorige vragen voor het antwoord
EXIT_Nieuws,EXIT_Nieuws,,5,n.v.t.,Vrouw,55-64,1-2 jaar,4/21/2025,ARIA_BD_A1002504850,Brabants Dagblad,Zaterdag+ (Hybride),,Ik maakte te weinig gebruik van het nieuws en de zaterdagkrant ging vaak ongelezen op een stapel. Ook van de krant Online maakte ik helaas te weinig gebruik ( door tijdgebrek)
ELT_Nieuws,ELT_Nieuws,,6,n.v.t.,Man,75 jaar of ouder,3-4 maanden,7/14/2025,ARIA_HLN_A1003983668,Het Laatste Nieuws,Compleet,Ja,
LLT_Nieuws,LLT_Nieuws,,0,ik beveel nooit nooit aan,Man,65-74,Meer dan 30 jaar,4/7/2025,ARIA_AD_A1001560238,het AD,Compleet,,
LLT_Magazines,LLT_Magazines,,8,n.v.t.,Vrouw,55-64,11-20 jaar,8/4/2025,SAP_LIBEL_38078912_20,Libelle,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,Betrouwbaar nieuws.,Man,65-74,Meer dan 30 jaar,1/13/2025,ARIA_TR_A1000774591,Trouw,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,8,Goede.krant en overzichtelijk,Man,45-54,1-2 jaar,3/31/2025,ARIA_HP_A1000234782,Het Parool,Digitaal Basis,,
EXIT_Magazines,EXIT_Magazines,,5,Het is wel elke week een humo... Dus 10 als je tijd hebt op elke week te lezen,Man,55-64,Minder dan 6 maanden,8/11/2025,SAP_HM_41316379_10,Humo,Compleet,,Geen tijd om elke week te lezen. Zo'n korte periode van een aantal weken is ok en zal nog wel eens herhaald worden.
EXIT_Nieuws,EXIT_Nieuws,,8,Fijne krant,Man,55-64,Weet ik niet,4/21/2025,ARIA_HP_A1000054820,Het Parool,Digitaal Basis,,te duur dus even een pauze..
LLT_Nieuws,LLT_Nieuws,,8,Goede krant,Man,45-54,3-5 jaar,6/9/2025,ARIA_DM_A1002081978,De Morgen,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,4,de levering en de prijzen zijn niet normaal duur wij waren al meer dan 25 jaar lid gaat juni vorig jaar ons abbonement in een keer 40 euro omhoog,Vrouw,55-64,21-30 jaar,6/30/2025,ARIA_BD_A1001367572,Brabants Dagblad,Compleet,,"na zoveel jaren lid niet gewaardeerd worden,en na navraag hoe dat kan dat het abbonement 1 een kaar zo veel duurder word ,geen duidelijk antwoord krijgen"
LLT_Magazines,LLT_Magazines,,9,Interessante artikels en nodige humor,Man,65-74,Meer dan 30 jaar,8/11/2025,SAP_HM_41212689_10,Humo,Compleet,,
LLT_Nieuws,LLT_Nieuws,,9,krant die reeds uit mijn jeugd bij mijn ouders gelezen werd,Man,65-74,21-30 jaar,8/18/2025,ARIA_HLN_A1003485076,Het Laatste Nieuws,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,bn de stem is een regiokrant,Man,55-64,3-5 jaar,2/10/2025,ARIA_BS_A1000183077,BN DeStem,Digital Only,,
LLT_Magazines,LLT_Magazines,,8,Het is een leuk en ook educatief blad dat ook inspeelt op de moderne tijjd,Vrouw,65-74,Meer dan 30 jaar,7/21/2025,SAP_DONAL_36977618_20,Donald Duck,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,Dat moeten ze zelf beslissen.,Vrouw,75 jaar of ouder,Meer dan 30 jaar,7/21/2025,ARIA_AD_A1000763030,het AD,Zaterdag+ (Hybride),,
ELT_Nieuws,ELT_Nieuws,,0,omdat ik Trouw in al die tijd nog maar 1 keer heb ontvangen,Vrouw,75 jaar of ouder,1-2 maanden,6/30/2025,ARIA_TR_A1003978689,Trouw,Zaterdag+ (Hybride),Nee,
ELT_Magazines,ELT_Magazines,,0,VT wonen is niet onze stijl,Man,65-74,1-2 maanden,7/14/2025,SAP_VTWON_41246635_10,vtwonen,Compleet,Nee,
EXIT_Nieuws,EXIT_Nieuws,,9,"Ik vind het een fijne krant, maar ik woon in een groot appartementencomplex en daar wordt de krant niet in de brievenbus maar los in de hal wordt gegooid en dat vind ik niet prettig!",Man,55-64,Minder dan 6 maanden,8/25/2025,ARIA_BD_A1004096081,Brabants Dagblad,Compleet,,Dat heb ik al verwoord!
LLT_Nieuws,LLT_Nieuws,,9,Betrouwbare krant zonder opgeklopt nieuws,Vrouw,65-74,Meer dan 30 jaar,7/14/2025,ARIA_TR_A1000302043,Trouw,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,6,Deze discussie is niet van toepassing,Vrouw,55-64,3-5 jaar,3/18/2025,ARIA_BD_A1001363005,Brabants Dagblad,Digital Only,,We hebben nog een andere krant en online kan ik nieuws ook lezen
LLT_Nieuws,LLT_Nieuws,,8,Het zijn goed leesbare artikelen,Man,75 jaar of ouder,Meer dan 30 jaar,7/14/2025,ARIA_VK_A1000268450,de Volkskrant,Compleet,,
LLT_Magazines,LLT_Magazines,,10,Ieder kind moet opgroeien met de Donald Duck. Op een laagdrempelige wijze komen hedendaagse dillema’s en thema’s aan bod.,Vrouw,35-44,Meer dan 30 jaar,7/14/2025,SAP_DONAL_2653322_10,Donald Duck,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,1,Omdat ik alleen BD las omdat mijn zoon bij RKC voetbalt,Man,55-64,1-2 jaar,1/13/2025,ARIA_BD_A1000100012,Brabants Dagblad,Digitaal Basis,,Te duur Weinig artikelen over RKC
LLT_Magazines,LLT_Magazines,,9,n.v.t.,Vrouw,75 jaar of ouder,Meer dan 30 jaar,7/14/2025,SAP_LIBEL_3311886_20,Libelle,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,De beste krant volgens mij!,Man,65-74,3-5 jaar,8/11/2025,ARIA_AD_A1002272612,het AD,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,Trouw is in loop der jaren veranderd.,Man,65-74,Meer dan 30 jaar,8/11/2025,ARIA_TR_A1000303600,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,Omdat natuur en milieu vaak besproken worden en aansluit bij mijn overtuigingen,Man,65-74,6-10 jaar,1/20/2025,ARIA_TR_A1000874492,Trouw,Digital Only,,
ELT_Nieuws,ELT_Nieuws,,3,n.v.t.,Man,75 jaar of ouder,1-2 maanden,5/26/2025,ARIA_AD_A1003794849,het AD,Compleet,Ja,
LLT_Magazines,LLT_Magazines,,9,Leuk weekblad voor jong en oud,Vrouw,35-44,1-2 jaar,7/7/2025,SAP_DONAL_40549797_10,Donald Duck,Compleet,,
LLT_Nieuws,LLT_Nieuws,,10,"Zeer goede achtergrondartikels, alle hoofdlijnen van het nieuws, niet te veel ""sensatie""",Man,65-74,Meer dan 30 jaar,6/9/2025,ARIA_DM_A1002737949,De Morgen,Zaterdag+ (Hybride),,
ELT_Nieuws,ELT_Nieuws,,8,Goede nieuws voorziening en veel lokaal nieuws,Man,45-54,1-2 maanden,8/25/2025,ARIA_AD_A1004120845,het AD,Zaterdag+ (Hybride),Nee,
LLT_Nieuws,LLT_Nieuws,,9,Veel informatie/sport en uit de regio,Man,45-54,3-5 jaar,7/7/2025,ARIA_AD_A1002447344,het AD,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,10,Beste krant van Nederland. Betrouwbaar,Vrouw,75 jaar of ouder,Meer dan 30 jaar,6/16/2025,ARIA_TR_A1000746135,Trouw,Compleet,,
ELT_Magazines,ELT_Magazines,,8,Sommige rubrieken spreken mij minder aan,Man,55-64,3-4 maanden,7/28/2025,SAP_HM_41295694_10,Humo,Compleet,Nee,
EXIT_Nieuws,EXIT_Nieuws,,6,Het is te duur,Beantwoord ik liever niet,55-64,11-20 jaar,8/25/2025,ARIA_ST_A1004089902,de Stentor,Compleet,,Te duur
LLT_Nieuws,LLT_Nieuws,,10,Omdat ik het de beste krant van Nederland vind.,Vrouw,75 jaar of ouder,Weet ik niet,7/7/2025,ARIA_TR_A1003699520,Trouw,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,10,Goede berichtgeving,Beantwoord ik liever niet,Beantwoord ik liever niet,Meer dan 30 jaar,5/19/2025,ARIA_VK_A1002601793,de Volkskrant,Digital Only,,Ontevreden over de kosten tov alle kortingsacties voor anderen. Na ruim 35 jaar met pijn in mijn hart opgezegd en inmiddels Trouw aan het lezen
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Vrouw,45-54,6-12 maanden,6/9/2025,ARIA_DM_A1002587374,De Morgen,Zaterdag+ (Hybride),,
EXIT_Nieuws,EXIT_Nieuws,,0,Belabberd slecht amateurvoetbal katern en vaak mosterd na de maaltijd,Man,55-64,11-20 jaar,7/7/2025,ARIA_ED_A1000626310,het ED,Compleet,,De zeer onsympathieke aanval van jullie huisfotograaf op AVE. Het artikel wat daarop volgde was smakeloos en onprofessioneel maar dat jullie business partner dan vervolgensceen deurwaarder op de voorzitter van de Stichting AVE afstuurt vond ik ronduit sch
LLT_Nieuws,LLT_Nieuws,,6,Teveel voetbal in het sportkatern,Man,65-74,Meer dan 30 jaar,8/11/2025,ARIA_AD_A1000291198,het AD,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,8,Ik was tevreden over de app.,Vrouw,45-54,Weet ik niet,8/11/2025,ARIA_AD_A1002909445,het AD,Digitaal Basis,,Voor nu past het even niet in mijn tijd om uitgebreid artikelen te lezen dus bespaar ik hiermee een klein beetje
LLT_Nieuws,LLT_Nieuws,,7,"Om dat een  goed  krant is, en duidelijk te lezen  is .",Man,65-74,1-2 jaar,6/16/2025,ARIA_TR_A1000818808,Trouw,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,0,grote chaos na einde van kontrakt met de post,Man,75 jaar of ouder,6-10 jaar,1/6/2025,ARIA_HLN_A1001880266,Het Laatste Nieuws,Compleet,,complete chaos na einde kontrakt  met de post (was reeds door U gekend meer dan een jaar voordiien)  de arrogantie aan de telefoon en de oncverschilligheid personeel  en daarna dreiging met een boete - kompleet gebrek van inzicht personeel
EXIT_Nieuws,EXIT_Nieuws,,9,Fantastische krant,Man,75 jaar of ouder,Minder dan 6 maanden,8/25/2025,ARIA_TR_A1004106816,Trouw,Compleet,,Prima krant. Kost veel tijd alles te lezen.
ELT_Nieuws,ELT_Nieuws,,9,"Ik heb niet veel met sport. De Volkskrant ook niet. Digitaal ziet het er goed verzorgt uit. Fijn om te kunnen kiezen voor selectieve nieuwsbrieven, onderwerpen, schrijvers. Een code om snel op ander apparaat te lezen.   Belangrijkst is betrouwbaar en neut",Man,35-44,1-2 maanden,5/13/2025,ARIA_VK_A1003890798,de Volkskrant,Digital Only,Nee,
EXIT_Nieuws,EXIT_Nieuws,,5,te veel  de zelfde berichten meerde dagen achter elkaar,Man,75 jaar of ouder,6-12 maanden,6/9/2025,ARIA_BD_A1002960078,Brabants Dagblad,Zaterdag+ (Hybride),,zoals eerder vermeld zie vraag 3
EXIT_Nieuws,EXIT_Nieuws,,10,Goede krant,Man,55-64,21-30 jaar,5/6/2025,ARIA_VK_A1000773668,de Volkskrant,Zaterdag+ (Hybride),,Mijn vrouw wilde een andere krant
LLT_Nieuws,LLT_Nieuws,,7,"Trouw is een sympathieke krant, ik ben dan ook al ongeveer 35 jaar abonnee. Wel merk ik, dat ik sommige columnisten en cartoonisten erg mis, waardoor ik soms eerder grijp naar een andere krant",Vrouw,55-64,Meer dan 30 jaar,1/13/2025,ARIA_TR_A1001150036,Trouw,Zaterdag+ (Hybride),,
ELT_Nieuws,ELT_Nieuws,,8,Omdat het toch wel fijn is dat je alle artikelen kan lezen die je wilt lezen.,Vrouw,55-64,Weet ik niet zeker,5/19/2025,ARIA_BS_A1003917612,BN DeStem,Digital Only,Ja,
LLT_Magazines,LLT_Magazines,,6,Er staan soms voor mij interessante artikelen in maar soms ook niet!,Vrouw,65-74,Minder dan 6 maanden,7/21/2025,SAP_MARGR_41133364_10,Margriet,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,7,Geen idee,Vrouw,75 jaar of ouder,6-12 maanden,2/3/2025,ARIA_ST_A1002642448,de Stentor,Zaterdag+ (Hybride),,n.v.t.
LLT_Nieuws,LLT_Nieuws,,10,Omdat ik zelf heel tevreden ben over HLN,Vrouw,55-64,1-2 jaar,5/26/2025,ARIA_HLN_A1001976386,Het Laatste Nieuws,Compleet,,
ELT_Nieuws,ELT_Nieuws,,4,hij wordt niet bezorgd door de bezorger,Man,55-64,Weet ik niet zeker,6/9/2025,ARIA_HLN_A1003948670,Het Laatste Nieuws,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,8,Goed is Goed,Man,65-74,Weet ik niet,6/9/2025,ARIA_PZ_A1000662235,de PZC,Compleet,,
ELT_Magazines,ELT_Magazines,,10,altijd fijn te lezen,Vrouw,55-64,1-2 maanden,7/14/2025,SAP_DA_41276648_10,Dag Allemaal,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,8,"Omdat het een fijne krant is, duidelijk en overzichtelijk. Weinig klachten omtrent bezorging",Man,65-74,Meer dan 30 jaar,5/19/2025,ARIA_PZ_A1003274875,de PZC,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,10,Uitstekende krant,Man,65-74,11-20 jaar,8/25/2025,ARIA_TR_A1000518437,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,Goede achtergrondinformatie,Vrouw,75 jaar of ouder,11-20 jaar,6/16/2025,ARIA_TR_A1001081990,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,75 jaar of ouder,Meer dan 30 jaar,2/17/2025,ARIA_TR_A1000522603,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,6,n.v.t.,Man,65-74,Meer dan 30 jaar,6/9/2025,ARIA_VK_A1000556154,de Volkskrant,Compleet,,
LLT_Magazines,LLT_Magazines,,7,"Een gids is voor velen een beetje uit de tijd, je verteld bijna niet meer dat een lidmaatschap hebt",Man,45-54,11-20 jaar,7/2/2025,SAP_VRONI_16897260_10,Veronica Superguide,Compleet,,
ELT_Nieuws,ELT_Nieuws,,1,"Omdat Trouw, net als NRC en de Volkskrant, een vervelende moraliserende elititair-linkse krant is. Voortdurend bezig met goed en fout. En natuurlijk is Trouw goed, en is alles en iedereen die niet behoort tot linkse kerk ""fout"".",Man,65-74,1-2 maanden,7/14/2025,ARIA_TR_A1004008377,Trouw,Digitaal Basis,Nee,
LLT_Nieuws,LLT_Nieuws,,8,Je moet enigzins links georienteerd zijn.,Man,75 jaar of ouder,3-5 jaar,6/9/2025,ARIA_VK_A1001012519,de Volkskrant,Digitaal Basis,,
LLT_Nieuws,LLT_Nieuws,,10,Het is een goed dagblad,Man,65-74,3-5 jaar,3/31/2025,ARIA_HLN_A1002875447,Het Laatste Nieuws,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,7,n.v.t.,Man,55-64,1-2 jaar,8/25/2025,ARIA_TT_A1002839861,Tubantia,Compleet,,n.v.t.
LLT_Nieuws,LLT_Nieuws,,7,Abonnement kost per kwartaal een hoop geld voor de mens,Vrouw,75 jaar of ouder,Meer dan 30 jaar,7/28/2025,ARIA_AD_A1001077765,het AD,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,6,Ieder heeft zijn eigen bron voor nieuws vergaring. Hier val ik niemand mee lastig.,Man,65-74,Weet ik niet,7/21/2025,ARIA_ED_A1001437698,het ED,Digitaal Basis,,Te duur.
EXIT_Nieuws,EXIT_Nieuws,,7,Prima krant heb nu gekozen voor het BD   ik woon in braband en in het ad stonden ook artikelen uit roterdam en daar heb ik niets mee,Man,65-74,3-5 jaar,8/11/2025,ARIA_AD_A1003036388,het AD,Compleet,,De regio van het ad was Zuid-Hollandse  en daar heb ik niets mee ..ik woon in braband ben dus meer naar het zuiden ge interesserd
LLT_Nieuws,LLT_Nieuws,,10,n.v.t.,Man,75 jaar of ouder,11-20 jaar,7/21/2025,ARIA_TR_A1001114774,Trouw,Zaterdag+ (Hybride),,
EXIT_Nieuws,EXIT_Nieuws,,8,Prima krant,Vrouw,45-54,Minder dan 6 maanden,8/25/2025,ARIA_DG_A1004109698,de Gelderlander,Compleet,,n.v.t.
EXIT_Magazines,EXIT_Magazines,,8,Dat ik het blad opzeg wil niet zeggen dat ik het niet goed vind. Maar na een jaar heb ik het wel gezien. Maar misschien andere niet.,Vrouw,75 jaar of ouder,6-12 maanden,7/21/2025,SAP_LIBEL_40556651_10,Libelle,Compleet,,Het blad boeide mij niet meer ik vond het iedere keer een klein beetje hetzelfde
LLT_Nieuws,LLT_Nieuws,,8,"Prima krant, afhankelijk van je interesses.",Vrouw,55-64,21-30 jaar,2/3/2025,ARIA_TR_A1000169222,Trouw,Digitaal Basis,,
LLT_Nieuws,LLT_Nieuws,,6,n.v.t.,Man,65-74,21-30 jaar,1/20/2025,ARIA_HP_A1000363212,Het Parool,Compleet,,
ELT_Nieuws,ELT_Nieuws,,0,Ik geef geen adviezen over te nemen abonnementen op welke krant dan ook,Man,55-64,Meer dan 6 maanden,1/6/2025,ARIA_VK_A1003442777,de Volkskrant,Digitaal Basis,Nee,
ELT_Nieuws,ELT_Nieuws,,7,Voordien had ik het nieuwsblad. Ik stapte over naar het laatste nieuws owv een interessante kortingsactie. Bij het nieuwsblad kreeg ik als extra een gratis app van routeyou bij het abonnement. Dit mis ik wel. De extra's bij het laatste nieuws zijn wat min,Man,35-44,1-2 maanden,8/4/2025,ARIA_HLN_A1003921581,Het Laatste Nieuws,Zaterdag+ (Hybride),Nee,
LLT_Nieuws,LLT_Nieuws,,5,"geen of weinig regionaal nieuws, altijd maar Leuven en nog eens Leuven kleiner dorpen zoals het onze komt niet aan bod, geen enkele activiteit word in HLN over onze evenementen vermeld",Man,75 jaar of ouder,Meer dan 30 jaar,5/19/2025,ARIA_HLN_A1001883654,Het Laatste Nieuws,Compleet,,
ELT_Magazines,ELT_Magazines,,6,Omdat ik de verzending erg slecht vind,Vrouw,35-44,1-2 maanden,8/18/2025,SAP_DONAL_41313103_10,Donald Duck,Compleet,Nee,
ELT_Nieuws,ELT_Nieuws,,8,"Goede en interessante nieuwsgaring, mooie sportbijlagen",Man,55-64,1-2 maanden,6/9/2025,ARIA_AD_A1003912009,het AD,Compleet,Ja,
LLT_Nieuws,LLT_Nieuws,,9,Vk is een van de Nederlandse kwaliteitskranten.,Man,65-74,6-10 jaar,8/4/2025,ARIA_VK_A1002654589,de Volkskrant,Digitaal Basis,,
EXIT_Nieuws,EXIT_Nieuws,,5,n.v.t.,Vrouw,65-74,1-2 jaar,3/31/2025,ARIA_ED_A1002807147,het ED,Compleet,,"Te weinig nieuws, online smorgens al op de hoogte"
EXIT_Nieuws,EXIT_Nieuws,,0,"Alleen onzin Nieuws . Dat er veel steden in Europa zijn waar de gewoneman ,vrouw ,jongen , of meisje niet meer kunnen komen . Stuttgart,  Manchester,  Monaco ,Parijs alleen maar drugsgebruik. Waarschuwt de mensen . Er worden 1000 mensen vermoord in Syrië ",Man,65-74,Minder dan 6 maanden,8/25/2025,ARIA_AD_A1004108450,het AD,Compleet,,Nep nieuws  .
ELT_Nieuws,ELT_Nieuws,,9,"Goede kwaliteits krant, prettig om te lezen.",Vrouw,65-74,1-2 maanden,2/17/2025,ARIA_TR_A1003517570,Trouw,Zaterdag+ (Hybride),Ja,
ELT_Magazines,ELT_Magazines,,8,Fijn blad. Informatief,Vrouw,55-64,Minder dan 1 maand,8/25/2025,SAP_LIBEL_41345068_10,Libelle,Compleet,Nee,
EXIT_Nieuws,EXIT_Nieuws,,1,Ik heb altijd Trouw een goede krant gevonden maar Trouw heeft mijn vertrouwen verloren ivm het standpunt dat Trouw nu inneemt tav de Gaza-oorlog.,Man,75 jaar of ouder,Weet ik niet,3/10/2025,ARIA_TR_A1000515162,Trouw,Compleet,,"Trouw neemt in berichtgeving, in commentaren en in columns een standpunt in waarbij gevolgen van de gruwelijke Gaza oorlog vooral wordt gelegd bij Israël, dat de oorlog niet is begonnen en niet heeft uitgelokt. De beschuldiging van genocide is kritiekloos"
ELT_Magazines,ELT_Magazines,,7,Omdat de bezorging nog niet soepel loopt,Vrouw,45-54,1-2 maanden,8/25/2025,SAP_DONAL_41326302_10,Donald Duck,Compleet,Nee,
LLT_Nieuws,LLT_Nieuws,,6,Heel fijne krant maar regelmatig zeer slechte bezirging,Man,65-74,21-30 jaar,6/16/2025,ARIA_ST_A1003558591,de Stentor,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,n.v.t.,Vrouw,75 jaar of ouder,Meer dan 30 jaar,6/9/2025,ARIA_TR_A1000268037,Trouw,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,De Volkskrant is gewoonweg een goede krant. Qua inhoud en lay-out.  Bovendien kan je digitaal ook kijken bij andere kranten van DPG.,Man,35-44,1-2 jaar,1/27/2025,ARIA_VK_A1002519400,de Volkskrant,Zaterdag+ (Hybride),,
ELT_Nieuws,ELT_Nieuws,,9,Zeer goede krant,Man,65-74,1-2 maanden,2/3/2025,ARIA_DM_A1003531585,De Morgen,Zaterdag+ (Hybride),Ja,
LLT_Nieuws,LLT_Nieuws,,7,slechte bezorging in verleden,Man,65-74,6-10 jaar,5/26/2025,ARIA_DG_A1003546571,de Gelderlander,Compleet,,
LLT_Nieuws,LLT_Nieuws,,7,n.v.t.,Man,55-64,1-2 jaar,8/18/2025,ARIA_VK_A1001152742,de Volkskrant,Digitaal Basis,,
EXIT_Nieuws,EXIT_Nieuws,,8,Interessante verhalen,Man,65-74,6-12 maanden,1/13/2025,ARIA_TR_A1002552427,Trouw,Zaterdag+ (Hybride),,"Heb al abonnement op devolkskrant en lees ED , te weinig tijd"
LLT_Nieuws,LLT_Nieuws,,9,Het goed,Man,65-74,1-2 jaar,6/2/2025,ARIA_HLN_A1002877700,Het Laatste Nieuws,Compleet,,
LLT_Nieuws,LLT_Nieuws,,8,Omdat ik redelijk tevreden ben.,Man,65-74,6-10 jaar,5/6/2025,ARIA_TR_A1000850433,Trouw,Zaterdag+ (Hybride),,
LLT_Nieuws,LLT_Nieuws,,8,n.v.t.,Man,65-74,Minder dan 6 maanden,2/10/2025,ARIA_DM_A1003303193,De Morgen,Compleet,,
ELT_Nieuws,ELT_Nieuws,,8,n.v.t.,Vrouw,75 jaar of ouder,1-2 maanden,5/6/2025,ARIA_AD_A1003793502,het AD,Zaterdag+ (Hybride),Ja,
LLT_Nieuws,LLT_Nieuws,,1,te duur,Vrouw,75 jaar of ouder,3-5 jaar,5/26/2025,ARIA_DM_A1002929117,De Morgen,Compleet,,
EXIT_Nieuws,EXIT_Nieuws,,9,Vond het een fijne krant,Vrouw,65-74,3-5 jaar,5/26/2025,ARIA_ST_A1000663217,de Stentor,Compleet,,De prijs
LLT_Nieuws,LLT_Nieuws,,5,"Dramatisch slecht zaterdag magazine Te veel gericht op boeken, te weinig gericht op wetenschap",Man,75 jaar of ouder,11-20 jaar,1/6/2025,ARIA_VK_A1001549866,de Volkskrant,Compleet,,
